refAreaCode,codeClassType_Code,codeClassType_DescEN,codeClassType_DescFR
0,,1,
1,,0,
2,,1,
3,,1.5,
4,,2,
5,,2,
6,,1,
7,,1,
8,,2,
9,,1,
10,,1,
11,,2,
12,,2,
13,,2,
14,,2,
15,,2,
16,,2,
17,,2,
18,,2,
19,,1,
20,,2,
21,,2,
22,,3,
23,,3,
24,,2,
25,,1,
26,,1,
27,,3,
28,,2,
29,,2,
30,,2,
31,,2,
32,,2,
33,,2,
34,,2,
35,,2,
36,,2,
37,,2,
38,,2,
39,,2,
40,,2,
41,,2,
42,,2,
43,,1,
44,,2,
45,,2,
46,,1.5,
47,,2,
48,,2,
49,,2,
50,,2,
51,,2,
52,,2,
53,,2,
54,,2,
55,,1.5,
56,,2,
57,,2,
58,,-1,
59,,2,
60,,2,
61,,2,
62,,1.5,
63,,2,
64,,2,
65,,2,
66,,2,
67,,2,
68,,2,
69,,2,
70,,2,
71,,2,
72,,2,
73,,2,
74,,2,
76,,2,
80,,2,
81,,1,
84,,2,
86,,2,
90,,2,
92,,2,
93,,3,
95,,2,
96,,2,
97,,2,
98,,2,
100,,2,
104,,2,
108,,2,
112,,2,
116,,2,
119,,2,
120,,2,
121,,3,
122,,3,
124,,2,
127,,1,
128,,2,
129,,3,
130,,2,
131,,2,
132,,2,
133,,3,
134,,1,
135,,1,
136,,2,
140,,2,
141,,3,
142,,1,
143,,2,
144,,2,
145,,2,
147,,0,
148,,2,
150,,1,
151,,2,
152,,2,
153,,3,
154,,2,
155,,2,
156,,2,
157,,-1,
158,,2,
160,,1,
161,,1,
162,,2,
166,,2,
170,,2,
171,,2,
172,,2,
173,,1,
174,,2,
175,,2,
176,,1,
178,,2,
180,,2,
184,,2,
185,,-1,
188,,2,
190,,2,
191,,2,
192,,2,
196,,2,
197,,2,
198,,2,
199,,2,
200,,2,
201,,1,
202,,1.5,
203,,2,
204,,2,
208,,2,
209,,-1,
212,,2,
214,,2,
216,,2,
217,,2,
218,,2,
219,,3,
220,,3,
221,,3,
222,,2,
223,,1,
224,,1,
225,,1,
226,,2,
227,,3,
228,,3,
230,,2,
231,,2,
232,,2,
233,,2,
234,,2,
238,,2,
239,,2,
240,,1,
241,,1,
242,,2,
246,,2,
248,,2,
249,,2,
250,,2,
251,,-1,
252,,-1,
253,,-1,
254,,2,
258,,2,
260,,2,
262,,2,
263,,1,
265,,1,
266,,2,
267,,1,
268,,2,
270,,2,
272,,1,
273,,1,
274,,2,
275,,2,
276,,2,
278,,2,
280,,2,
282,,2,
283,,3,
284,,2,
285,,3,
286,,3,
287,,3,
288,,2,
289,,3,
290,,3,
291,,3,
292,,2,
293,,3,
295,,2,
296,,2,
297,,-1,
300,,2,
304,,2,
308,,2,
310,,2,
312,,2,
316,,2,
320,,2,
324,,2,
325,,2,
328,,2,
332,,2,
334,,2,
336,,2,
340,,2,
344,,2,
348,,2,
349,,1,
350,,1,
351,,1,
352,,2,
353,,1,
354,,1,
355,,1,
356,,2,
357,,1,
358,,1,
359,,1,
360,,2,
361,,3,
364,,2,
368,,2,
372,,2,
375,,1,
376,,2,
378,,1,
380,,2,
381,,-1,
382,,-1,
384,,2,
386,,1,
388,,2,
392,,2,
393,,3,
394,,3,
395,,2,
396,,2,
397,,1,
398,,2,
399,,2,
400,,2,
401,,3,
402,,3,
404,,2,
407,,-1,
408,,2,
410,,2,
412,,2,
414,,2,
415,,-1,
416,,-1,
417,,2,
418,,2,
419,,1.5,
420,,2,
422,,2,
423,,-1,
426,,2,
428,,2,
430,,2,
432,,2,
434,,2,
438,,2,
440,,2,
442,,2,
446,,2,
450,,2,
452,,2,
454,,2,
455,,3,
457,,3,
458,,2,
459,,3,
460,,3,
461,,3,
462,,2,
466,,2,
470,,2,
471,,3,
472,,3,
473,,3,
474,,2,
476,,3,
477,,3,
478,,2,
479,,3,
480,,2,
481,,3,
482,,3,
483,,3,
484,,2,
485,,1,
486,,1,
487,,1,
488,,2,
489,,0,
490,,3,
491,,0,
492,,2,
496,,2,
497,,3,
498,,2,
499,,2,
500,,2,
501,,1,
502,,2,
504,,2,
505,,3,
506,,3,
507,,3,
508,,2,
512,,2,
513,,-1,
514,,0,
515,,0,
516,,2,
517,,0,
518,,1,
519,,0,
520,,2,
521,,1,
522,,1,
523,,1,
524,,2,
525,,0,
526,,0,
527,,3,
528,,2,
529,,0,
530,,2,
531,,2,
532,,2,
533,,2,
534,,2,
535,,2,
536,,2,
537,,0,
538,,0,
539,,0,
540,,2,
541,,0,
542,,0,
543,,-1,
544,,2,
545,,0,
546,,3,
547,,3,
548,,2,
550,,0,
551,,0,
552,,0,
553,,0,
554,,2,
555,,-1,
556,,3,
557,,0,
558,,2,
559,,0,
560,,0,
561,,0,
562,,2,
563,,0,
564,,0,
565,,0,
566,,2,
568,,3,
569,,0,
570,,2,
571,,1,
572,,1,
573,,1,
574,,2,
575,,1,
577,,3,
578,,2,
579,,-1,
580,,2,
581,,2,
582,,2,
583,,2,
584,,2,
585,,2,
586,,2,
588,,-1,
590,,2,
591,,2,
592,,2,
593,,1,
594,,2,
595,,2,
596,,2,
597,,2,
598,,2,
600,,2,
602,,2,
604,,2,
608,,2,
612,,2,
616,,2,
620,,2,
624,,2,
626,,2,
627,,2,
630,,2,
633,,1,
634,,2,
636,,3,
638,,2,
642,,2,
643,,2,
644,,1,
645,,-1,
646,,2,
647,,3,
648,,1,
649,,1,
650,,2,
651,,1,
652,,2,
653,,3,
654,,2,
655,,3,
656,,3,
657,,3,
658,,2,
659,,2,
660,,2,
662,,2,
663,,2,
666,,2,
667,,3,
668,,3,
669,,3,
670,,2,
674,,2,
678,,2,
680,,2,
682,,2,
684,,3,
685,,-1,
686,,2,
688,,2,
689,,1,
690,,2,
692,,2,
693,,2,
694,,2,
695,,2,
697,,3,
698,,2,
699,,-1,
702,,2,
703,,2,
704,,2,
705,,2,
706,,2,
707,,3,
708,,3,
709,,3,
710,,2,
711,,2,
712,,-1,
713,,3,
714,,3,
715,,3,
716,,2,
717,,-1,
718,,1,
719,,1,
720,,2,
722,,2,
724,,2,
725,,3,
727,,3,
728,,2,
729,,2,
730,,1,
731,,1,
732,,2,
733,,1,
734,,1,
735,,1,
736,,2,
738,,1,
740,,2,
741,,1.5,
742,,-1,
743,,1,
744,,2,
745,,1,
746,,1,
747,,-1,
748,,2,
749,,2,
750,,2,
751,,2,
752,,2,
753,,-1,
756,,2,
757,,-1,
760,,2,
762,,2,
764,,2,
768,,2,
772,,2,
776,,2,
778,,1,
780,,2,
783,,3,
784,,2,
785,,3,
786,,3,
787,,3,
788,,2,
789,,3,
790,,3,
791,,3,
792,,2,
793,,3,
795,,2,
796,,2,
798,,2,
800,,2,
804,,2,
806,,1,
807,,2,
808,,1,
809,,1,
810,,2,
811,,3,
813,,1,
814,,1,
815,,1,
816,,1,
818,,2,
819,,1,
820,,1,
821,,1,
823,,1,
824,,3,
825,,3,
826,,2,
827,,3,
828,,3,
829,,3,
830,,1,
831,,2,
832,,2,
833,,2,
834,,2,
835,,3,
836,,3,
837,,1,
838,,1,
839,,1,
840,,2,
841,,-1,
842,,-1,
843,,1,
844,,1,
847,,3,
848,,3,
849,,2,
850,,2,
851,,3,
852,,3,
853,,3,
854,,2,
855,,3,
857,,1,
858,,2,
860,,2,
862,,2,
866,,2,
868,,2,
869,,1,
870,,1,
871,,1,
872,,2,
873,,1,
874,,1,
875,,3,
876,,2,
877,,-1,
878,,2,
879,,3,
880,,1,
881,,3,
882,,2,
883,,-1,
884,,2,
885,,1,
886,,2,
887,,2,
888,,1,
889,,1,
890,,2,
891,,2,
892,,2,
894,,2,
896,,1,
898,,1,
899,,1,
