refAreaCode,codePublicStatus_Code,codePublicStatus_DescEN,codePublicStatus_DescFR
0,,Y,
1,,Y,
2,,Y,
3,,Y,
4,,Y,
5,,Y,
6,,Y,
7,,Y,
8,,Y,
9,,Y,
10,,Y,
11,,Y,
12,,Y,
13,,Y,
14,,Y,
15,,Y,
16,,Y,
17,,Y,
18,,Y,
19,,Y,
20,,Y,
21,,Y,
22,,N,
23,,N,
24,,Y,
25,,N,
26,,N,
27,,N,
28,,Y,
29,,Y,
30,,Y,
31,,Y,
32,,Y,
33,,Y,
34,,Y,
35,,Y,
36,,Y,
37,,Y,
38,,Y,
39,,Y,
40,,Y,
41,,Y,
42,,Y,
43,,Y,
44,,Y,
45,,Y,
46,,Y,
47,,Y,
48,,Y,
49,,Y,
50,,Y,
51,,Y,
52,,Y,
53,,Y,
54,,Y,
55,,Y,
56,,Y,
57,,Y,
58,,Y,
59,,N,
60,,Y,
61,,Y,
62,,Y,
63,,Y,
64,,Y,
65,,Y,
66,,Y,
67,,N,
68,,Y,
69,,Y,
70,,Y,
71,,Y,
72,,Y,
73,,Y,
74,,Y,
76,,Y,
80,,Y,
81,,N,
84,,Y,
86,,Y,
90,,Y,
92,,Y,
93,,N,
95,,Y,
96,,Y,
97,,Y,
98,,Y,
100,,Y,
104,,Y,
108,,Y,
112,,Y,
116,,Y,
119,,N,
120,,Y,
121,,N,
122,,N,
124,,Y,
127,,N,
128,,Y,
129,,Y,
130,,Y,
131,,N,
132,,Y,
133,,N,
136,,Y,
140,,Y,
141,,N,
142,,Y,
143,,Y,
144,,Y,
145,,Y,
147,,N,
148,,Y,
150,,Y,
151,,Y,
152,,Y,
153,,N,
154,,Y,
155,,Y,
156,,Y,
157,,N,
158,,Y,
160,,N,
161,,N,
162,,Y,
166,,Y,
170,,Y,
171,,Y,
172,,Y,
173,,N,
174,,Y,
175,,Y,
176,,N,
178,,Y,
180,,Y,
184,,Y,
185,,N,
188,,Y,
190,,N,
191,,Y,
192,,Y,
196,,Y,
197,,Y,
198,,Y,
199,,Y,
200,,Y,
201,,N,
202,,Y,
203,,Y,
204,,Y,
208,,Y,
209,,N,
212,,Y,
214,,Y,
216,,Y,
217,,N,
218,,Y,
219,,N,
220,,Y,
221,,Y,
222,,Y,
223,,N,
224,,N,
225,,N,
226,,Y,
227,,N,
228,,N,
230,,Y,
231,,Y,
232,,Y,
233,,Y,
234,,Y,
238,,Y,
239,,Y,
240,,N,
241,,N,
242,,Y,
246,,Y,
248,,Y,
249,,Y,
250,,Y,
251,,Y,
252,,N,
253,,N,
254,,Y,
258,,Y,
260,,Y,
262,,Y,
263,,N,
265,,N,
266,,Y,
267,,N,
268,,Y,
270,,Y,
272,,N,
273,,N,
274,,Y,
275,,Y,
276,,Y,
278,,Y,
280,,Y,
282,,Y,
283,,N,
284,,Y,
288,,Y,
289,,N,
290,,Y,
292,,Y,
295,,N,
296,,Y,
297,,N,
300,,Y,
304,,Y,
308,,Y,
310,,N,
312,,Y,
316,,Y,
320,,Y,
324,,Y,
325,,N,
328,,Y,
332,,Y,
334,,Y,
336,,Y,
340,,Y,
344,,Y,
348,,Y,
349,,N,
350,,N,
351,,N,
352,,Y,
353,,N,
354,,N,
355,,N,
356,,Y,
357,,N,
358,,N,
359,,N,
360,,Y,
361,,N,
364,,Y,
368,,Y,
372,,Y,
375,,N,
376,,Y,
378,,N,
380,,Y,
381,,Y,
382,,N,
384,,Y,
386,,N,
388,,Y,
392,,Y,
393,,Y,
394,,N,
395,,Y,
396,,Y,
397,,N,
398,,Y,
399,,Y,
400,,Y,
401,,N,
402,,N,
404,,Y,
407,,N,
408,,Y,
410,,Y,
412,,N,
414,,Y,
415,,N,
416,,N,
417,,Y,
418,,Y,
419,,Y,
420,,N,
422,,Y,
423,,N,
426,,Y,
428,,Y,
430,,Y,
432,,Y,
434,,Y,
438,,Y,
440,,Y,
442,,Y,
446,,Y,
450,,Y,
452,,N,
454,,Y,
455,,N,
457,,N,
458,,Y,
459,,N,
460,,N,
461,,N,
462,,Y,
466,,Y,
470,,Y,
471,,Y,
472,,Y,
473,,Y,
474,,Y,
476,,N,
477,,N,
478,,Y,
479,,N,
480,,Y,
481,,N,
482,,N,
483,,N,
484,,Y,
485,,N,
486,,N,
487,,N,
488,,Y,
489,,N,
490,,Y,
491,,N,
492,,Y,
496,,Y,
497,,N,
498,,Y,
499,,Y,
500,,Y,
501,,N,
502,,N,
504,,Y,
505,,N,
506,,N,
507,,N,
508,,Y,
512,,Y,
516,,Y,
517,,N,
518,,N,
519,,N,
520,,Y,
521,,N,
522,,N,
523,,N,
524,,Y,
525,,N,
526,,N,
527,,Y,
528,,Y,
529,,N,
530,,Y,
531,,Y,
532,,Y,
533,,Y,
534,,Y,
535,,Y,
536,,Y,
537,,N,
538,,N,
539,,N,
540,,Y,
541,,N,
542,,N,
543,,N,
544,,Y,
545,,N,
546,,N,
547,,N,
548,,Y,
550,,N,
551,,N,
552,,N,
553,,N,
554,,Y,
555,,N,
556,,N,
557,,N,
558,,Y,
559,,N,
560,,N,
561,,N,
562,,Y,
563,,N,
564,,N,
565,,N,
566,,Y,
568,,Y,
569,,N,
570,,Y,
571,,N,
572,,N,
573,,N,
574,,Y,
575,,N,
577,,Y,
578,,Y,
579,,Y,
580,,Y,
581,,Y,
582,,Y,
583,,Y,
584,,Y,
585,,Y,
586,,Y,
588,,N,
590,,Y,
591,,Y,
592,,Y,
593,,N,
594,,N,
595,,N,
596,,Y,
597,,N,
598,,Y,
600,,Y,
602,,N,
604,,Y,
608,,Y,
612,,Y,
616,,Y,
620,,Y,
624,,Y,
626,,Y,
627,,N,
630,,Y,
633,,N,
634,,Y,
636,,Y,
638,,Y,
642,,Y,
643,,Y,
644,,N,
645,,N,
646,,Y,
647,,N,
648,,N,
649,,N,
650,,Y,
651,,N,
652,,Y,
653,,N,
654,,Y,
655,,N,
656,,N,
657,,N,
658,,Y,
659,,Y,
660,,Y,
662,,Y,
663,,Y,
666,,Y,
667,,N,
668,,N,
669,,N,
670,,Y,
674,,Y,
678,,Y,
680,,Y,
682,,Y,
684,,N,
685,,N,
686,,Y,
688,,Y,
689,,N,
690,,Y,
692,,Y,
693,,N,
694,,Y,
695,,N,
697,,Y,
698,,Y,
699,,N,
702,,Y,
703,,Y,
704,,Y,
705,,Y,
706,,Y,
707,,N,
708,,N,
709,,N,
710,,Y,
711,,Y,
712,,N,
713,,N,
714,,N,
715,,N,
716,,Y,
717,,N,
718,,N,
719,,N,
720,,Y,
722,,Y,
724,,Y,
725,,N,
727,,Y,
728,,Y,
729,,Y,
730,,N,
731,,N,
732,,Y,
733,,N,
734,,N,
735,,N,
736,,Y,
738,,N,
740,,Y,
741,,N,
742,,N,
743,,N,
744,,Y,
745,,N,
746,,N,
747,,N,
748,,Y,
749,,N,
750,,N,
751,,N,
752,,Y,
753,,N,
756,,Y,
757,,Y,
760,,Y,
762,,Y,
764,,Y,
768,,Y,
772,,Y,
776,,Y,
778,,Y,
780,,Y,
783,,N,
784,,Y,
785,,N,
786,,N,
787,,N,
788,,Y,
789,,N,
790,,N,
791,,N,
792,,Y,
793,,N,
795,,Y,
796,,Y,
798,,Y,
800,,Y,
804,,Y,
806,,N,
807,,Y,
808,,N,
809,,N,
810,,Y,
811,,N,
813,,N,
814,,N,
815,,N,
816,,N,
818,,Y,
819,,N,
820,,N,
821,,N,
823,,N,
824,,N,
825,,N,
826,,Y,
827,,N,
828,,N,
829,,N,
830,,Y,
831,,Y,
832,,Y,
833,,Y,
834,,Y,
835,,N,
836,,N,
837,,Y,
838,,Y,
839,,N,
840,,Y,
841,,Y,
842,,Y,
843,,N,
844,,N,
847,,N,
848,,N,
849,,Y,
850,,Y,
851,,N,
852,,N,
853,,N,
854,,Y,
855,,N,
857,,N,
858,,Y,
860,,Y,
862,,Y,
866,,Y,
868,,Y,
869,,N,
870,,N,
871,,N,
872,,Y,
873,,N,
874,,N,
875,,N,
876,,Y,
877,,N,
878,,N,
879,,Y,
880,,N,
881,,N,
882,,Y,
883,,N,
884,,N,
885,,N,
886,,Y,
887,,Y,
888,,N,
889,,N,
890,,Y,
891,,Y,
892,,Y,
894,,Y,
896,,Y,
898,,Y,
899,,Y,
134,,N,
135,,N,
285,,N,
286,,N,
287,,N,
291,,N,
293,,N,
513,,N,
514,,N,
515,,N,
